region_g,counter_type_mix,rate_pct
101,ELEC,2.8680981595092025
103,ELEC,6.327160493827161
104,ELEC,4.634806131650135
107,ELEC,5.141388174807198
301,ELEC,3.3582738820254048
302,ELEC,5.416813225466057
303,ELEC,4.248645566010835
304,ELEC,5.036726128016789
306,ELEC,2.6833631484794274
310,ELEC,4.367575122292103
311,ELEC,5.1762787854086
312,ELEC,3.814392449862367
otras,ELEC,5.471505839931019
101,ELEC+GAZ,4.70904077782615
103,ELEC+GAZ,12.618629173989454
104,ELEC+GAZ,6.388580931263858
107,ELEC+GAZ,7.868975903614457
301,ELEC+GAZ,3.225806451612903
302,ELEC+GAZ,7.687028140013727
303,ELEC+GAZ,7.163091865641441
304,ELEC+GAZ,8.355091383812011
306,ELEC+GAZ,7.600596125186289
310,ELEC+GAZ,6.146095717884131
311,ELEC+GAZ,9.93324432576769
312,ELEC+GAZ,6.62287903667214
otras,ELEC+GAZ,7.510841283607979
101,GAZ,0.7009345794392523
104,GAZ,1.9230769230769231
