table,column,n,n_zero,pct_zero,n_negative,min,max,mean,std,skew,kurtosis,iqr,iqr_upper_fence,n_outliers_high_iqr,pct_outliers_high_iqr,n_outliers_low_iqr,p01,p05,p25,p50,p75,p95,p99
invoice_train,consommation_level_1,4476738,467542,10.4438,0,0.0,999910.0,410.98050522500984,757.3086546126161,525.979805165368,678682.4282046602,521.0,1381.5,124585,2.7829,0,0.0,0.0,79.0,274.0,600.0,1200.0,2192.0
invoice_train,consommation_level_2,4476738,3816168,85.2444,0,0.0,999073.0,109.32274504337757,1220.1248224798874,338.88986482508983,226024.7028745175,0.0,0.0,660570,14.7556,0,0.0,0.0,0.0,0.0,0.0,400.0,2069.0
invoice_train,consommation_level_3,4476738,4293380,95.9042,0,0.0,64492.0,20.306253794615632,157.42412824953985,75.31470807340328,18445.51513973,0.0,0.0,183358,4.0958,0,0.0,0.0,0.0,0.0,0.0,0.0,800.0
invoice_train,consommation_level_4,4476738,4383780,97.9235,0,0.0,547946.0,52.92601130555328,875.4735489914503,118.60444416128412,46098.202206315,0.0,0.0,92958,2.0765,0,0.0,0.0,0.0,0.0,0.0,0.0,1222.0
invoice_train,old_index,4476738,287903,6.4311,0,0.0,2800280.0,17767.00727069576,40366.95082050647,11.089760681724494,204.2439054493633,19869.0,51463.5,268597,5.9998,0,0.0,0.0,1791.0,7690.0,21660.0,56260.0,150959.77999999933
invoice_train,new_index,4476738,195928,4.3766,0,0.0,2870972.0,18349.715069767317,40953.23239266718,10.992811483264832,203.31403078085356,20287.0,52773.5,266941,5.9628,0,0.0,11.0,2056.0,8192.0,22343.0,57532.0,155668.25999999978
invoice_train,months_number,4476738,2,0.0,0,0.0,636624.0,44.83105176134945,3128.3392278943147,105.33551453398375,13320.439856339375,0.0,4.0,404808,9.0425,391452,1.0,2.0,4.0,4.0,4.0,8.0,12.0
invoice_train,counter_coefficient,4476738,46,0.001,0,0.0,50.0,1.0030401600451042,0.30834699785967284,116.77986764292127,13971.191717730206,0.0,1.0,1601,0.0358,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0
invoice_test,consommation_level_1,1939722,201833,10.4053,0,0.0,110858.0,414.6295350570855,603.5938298511662,26.373369872087718,2725.99053288478,523.0,1387.5,55216,2.8466,0,0.0,0.0,80.0,277.0,603.0,1200.0,2265.7900000000373
invoice_test,consommation_level_2,1939722,1651679,85.1503,0,0.0,309039.0,116.59463624168824,1087.4695311403668,77.16650479072477,12710.543451959498,0.0,0.0,288043,14.8497,0,0.0,0.0,0.0,0.0,0.0,400.0,2198.0
invoice_test,consommation_level_3,1939722,1860218,95.9013,0,0.0,71670.0,21.54898330791732,235.24557797427133,97.34544683751594,16936.048600687303,0.0,0.0,79504,4.0987,0,0.0,0.0,0.0,0.0,0.0,0.0,800.0
invoice_test,consommation_level_4,1939722,1899012,97.9012,0,0.0,300934.0,57.15383286883378,935.2629387679544,68.33426817775256,11139.682048175098,0.0,0.0,40710,2.0988,0,0.0,0.0,0.0,0.0,0.0,0.0,1265.0
invoice_test,old_index,1939722,124456,6.4162,0,0.0,3039577.0,18230.88826027647,43485.457719487626,14.642209565678135,448.38050344450807,20305.0,52577.5,116156,5.9883,0,0.0,0.0,1815.0,7819.0,22120.0,57432.94999999995,157396.16000000015
invoice_test,new_index,1939722,84920,4.3779,0,0.0,3066673.0,18891.39242015093,44640.96613413745,14.349842088413927,425.2902952212967,20731.0,53910.5,115580,5.9586,0,0.0,10.0,2083.0,8326.0,22814.0,58758.94999999995,163720.79000000004
invoice_test,months_number,1939722,9,0.0005,0,0.0,990688.0,117.12929739416266,7834.564003647458,87.75395837883075,8547.825304749626,0.0,4.0,174097,8.9754,175649,1.0,2.0,4.0,4.0,4.0,8.0,12.0
invoice_test,counter_coefficient,1939722,30,0.0015,0,0.0,21.0,1.0004598597118557,0.02973973501471394,227.46717295924546,120057.91287252141,0.0,1.0,807,0.0416,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
invoice_train,consommation_total (derivada),4476738,467542,10.4438,0,0.0,999910.0,593.5355153685563,1775.2304172428383,166.45085045153968,75791.65041979196,577.0,1522.5,330279,7.3777,0,0.0,0.0,80.0,309.0,657.0,1949.0,5046.0
invoice_test,consommation_total (derivada),1939722,201833,10.4053,0,0.0,309639.0,609.9269874755248,1663.8846892354627,36.6023891180304,3559.156913797476,582.0,1535.0,144970,7.4738,0,0.0,0.0,80.0,313.0,662.0,2000.0,5268.790000000037
